# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/category/insight,Referral,20,17,16,1.25,9.8125,70,0,0
/global/archives/14354,Organic Search,19,17,12,1.5833333333333333,75.58333333333333,79,0,0
/global/archives/16493,Organic Search,19,16,15,1.2666666666666666,29.666666666666668,84,0,0
/global/archives/18374,Organic Social,19,19,17,1.1176470588235294,1.411764705882353,80,0,0
/global/archives/6824,Organic Search,19,16,11,1.7272727272727273,93.18181818181819,80,0,0
/global/archives/category/corporates/sk-earthon,Referral,19,10,7,2.7142857142857144,74,68,0,0
/global/archives/category/people/sustainability,Direct,19,14,9,2.111111111111111,14.88888888888889,76,0,0
/global/archives/category/people/sustainability,Organic Search,19,15,14,1.3571428571428572,16.785714285714285,73,0,0
/global/archives/14065,Organic Search,18,11,10,1.8,93.4,70,0,0
/global/archives/15574,Organic Search,18,21,13,1.3846153846153846,48.23076923076923,81,0,0
/global/archives/category/insight/trend_report,Direct,18,11,10,1.8,19,63,0,0
/global/archives/category/people,Referral,18,14,13,1.3846153846153846,9.461538461538462,68,0,0
/global/archives/category/people/ceo-leaders,Organic Search,18,12,7,2.5714285714285716,38.142857142857146,76,0,0
/global/archives/14243,Organic Search,17,18,15,1.1333333333333333,98.26666666666667,72,0,0
/global/archives/15204,Organic Search,17,14,12,1.4166666666666667,58,68,0,0
/global/archives/17965,Organic Search,17,19,13,1.3076923076923077,26.23076923076923,68,0,0
/global/archives/tag/2023-sk-global-forum,Organic Search,17,13,12,1.4166666666666667,5.5,72,0,0
/global/archives/tag/ncm811,Organic Search,17,13,12,1.4166666666666667,10,80,0,0
/global/archives/11161,Organic Search,16,16,10,1.6,56.3,77,0,0
/global/archives/12147,Organic Search,16,15,14,1.1428571428571428,31,70,0,0
/global/archives/13521,Referral,16,17,15,1.0666666666666667,104.2,79,0,0
/global/archives/15103,Organic Search,16,14,13,1.2307692307692308,10.538461538461538,68,0,0
/global/archives/15490,Direct,16,17,14,1.1428571428571428,32.142857142857146,71,0,0
/global/archives/16154,Organic Search,16,17,12,1.3333333333333333,59.833333333333336,73,0,0
/global/archives/17426,Referral,16,14,8,2,106.625,65,0,0
/global/archives/17514,Organic Search,16,13,11,1.4545454545454546,55.54545454545455,69,0,0
/global/archives/17514,Referral,16,5,5,3.2,160.8,64,0,0
/global/archives/18571,Direct,16,17,15,1.0666666666666667,7.666666666666667,64,0,0
/global/archives/2293,Organic Search,16,15,14,1.1428571428571428,6.428571428571429,69,0,0
/global/archives/7292,Direct,16,17,13,1.2307692307692308,3.6923076923076925,65,0,0
/global/archives/category/corporates/sk-geo-centric,Direct,16,15,14,1.1428571428571428,4.071428571428571,59,0,0
/global/archives/tag/financial-results,Organic Search,16,10,9,1.7777777777777777,10.444444444444445,64,0,0
/global/archives/tag/sko,Organic Search,16,17,16,1,13.625,79,0,0
/global/archives/13103,Organic Search,15,15,8,1.875,17.125,57,0,0
/global/archives/13329,Organic Search,15,15,12,1.25,25.666666666666668,69,0,0
/global/archives/1399,Organic Search,15,18,14,1.0714285714285714,33.857142857142854,70,0,0
/global/archives/14770,Organic Search,15,14,13,1.1538461538461537,23.384615384615383,70,0,0
/global/archives/15353,Organic Search,15,13,11,1.3636363636363635,25.09090909090909,65,0,0
/global/archives/15462,Direct,15,16,14,1.0714285714285714,15.857142857142858,66,0,0
/global/archives/15664,Direct,15,17,15,1,17.466666666666665,64,0,0
/global/archives/15840,Organic Search,15,17,13,1.1538461538461537,26.53846153846154,71,0,0
/global/archives/16881,Organic Search,15,10,10,1.5,29.6,63,0,0
/global/archives/17990,Direct,15,14,14,1.0714285714285714,2.9285714285714284,58,0,0
/global/archives/18571,Unassigned,15,11,7,2.142857142857143,7.714285714285714,52,0,0
/global/archives/253,Organic Search,15,20,11,1.3636363636363635,48.63636363636363,74,0,0
