# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240401
# 종료일: 20240430
페이지 경로 및 화면 클래스,세션 기본 채널 그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/14309,Organic Search,10,13,11,0.9090909090909091,7.2727272727272725,45,0,0
/global/archives/15490,Paid Search,10,9,3,3.3333333333333335,1.3333333333333333,33,0,0
/global/archives/15865,Paid Search,10,9,4,2.5,1.75,30,0,0
/global/archives/16881,Organic Search,10,9,8,1.25,29.5,44,0,0
/global/archives/17476,Organic Search,10,9,9,1.1111111111111112,43,46,0,0
/global/archives/253,Organic Search,10,11,8,1.25,77.375,38,0,0
/global/archives/9509,Organic Search,10,9,9,1.1111111111111112,35.77777777777778,43,0,0
/global/archives/category/insight,Referral,10,8,7,1.4285714285714286,9.285714285714286,35,0,0
/global/archives/category/people/sustainability,Organic Search,10,10,8,1.25,18.625,38,0,0
/global/archives/category/press-room/issue-fact,Referral,10,8,8,1.25,13,33,0,0
/global/archives/10159,Organic Search,9,10,9,1,11.444444444444445,44,0,0
/global/archives/10985,Organic Search,9,8,8,1.125,32,43,0,0
/global/archives/11004,Organic Search,9,10,7,1.2857142857142858,43.142857142857146,40,0,0
/global/archives/14264,Organic Search,9,10,8,1.125,52.5,37,0,0
/global/archives/14565,Organic Search,9,8,8,1.125,23.125,38,0,0
/global/archives/14628,Organic Search,9,11,9,1,40.888888888888886,38,0,0
/global/archives/14788,Organic Search,9,9,6,1.5,13,36,0,0
/global/archives/15259,Direct,9,9,9,1,0,35,0,0
/global/archives/15409,Organic Search,9,8,7,1.2857142857142858,18.142857142857142,39,0,0
/global/archives/16405,Organic Search,9,9,8,1.125,27.125,43,0,0
/global/archives/16719,Direct,9,8,6,1.5,3.1666666666666665,26,0,0
/global/archives/17569,Referral,9,6,5,1.8,89.4,28,0,0
/global/archives/17623,Organic Search,9,11,5,1.8,69.8,39,0,0
/global/archives/4146,Organic Search,9,8,7,1.2857142857142858,130.28571428571428,42,0,0
/global/archives/6150,Organic Search,9,9,6,1.5,89.16666666666667,31,0,0
/global/archives/6253,Organic Search,9,10,8,1.125,49,42,0,0
/global/archives/6343,Organic Search,9,11,7,1.2857142857142858,50.142857142857146,50,0,0
/global/archives/6517,Organic Search,9,10,7,1.2857142857142858,43,41,0,0
/global/archives/7031,Organic Search,9,7,5,1.8,40.8,37,0,0
/global/archives/7292,Organic Search,9,10,8,1.125,22.125,36,0,0
/global/archives/7761,Organic Search,9,13,8,1.125,250.875,40,0,0
/global/archives/8087,Organic Search,9,9,7,1.2857142857142858,13.285714285714286,42,0,0
/global/archives/9096,Organic Search,9,11,6,1.5,74,35,0,0
/global/archives/category/corporate/sk-rading-international,Organic Search,9,11,7,1.2857142857142858,12.142857142857142,45,0,0
/global/archives/tag/ecopro,Organic Search,9,9,8,1.125,7.625,41,0,0
/global/archives/tag/georgia,Organic Search,9,11,8,1.125,62,46,0,0
/global/archives/tag/mbwa,Organic Search,9,6,6,1.5,7.166666666666667,42,0,0
/global/archives/11147,Referral,8,8,6,1.3333333333333333,65.83333333333333,40,0,0
/global/archives/13780,Direct,8,9,6,1.3333333333333333,7.5,35,0,0
/global/archives/14309,Direct,8,8,8,1,9.25,30,0,0
/global/archives/14333,Organic Search,8,8,7,1.1428571428571428,53.57142857142857,32,0,0
/global/archives/16376,Direct,8,7,3,2.6666666666666665,8,27,0,0
/global/archives/16463,Direct,8,8,8,1,18.25,37,0,0
/global/archives/17022,Organic Search,8,8,8,1,63.5,37,0,0
/global/archives/17134,Organic Search,8,8,8,1,80.25,33,0,0
/global/archives/1722,Organic Search,8,8,7,1.1428571428571428,31.714285714285715,38,0,0
/global/archives/17737,Organic Social,8,9,7,1.1428571428571428,6.571428571428571,36,0,0
/global/archives/17796,Referral,8,8,8,1,79.75,31,0,0
/global/archives/18022,Organic Social,8,9,6,1.3333333333333333,9.5,34,0,0
/global/archives/4844,Organic Search,8,12,8,1,4.25,37,0,0
/global/archives/5129,Organic Search,8,11,7,1.1428571428571428,5.857142857142857,40,0,0
/global/archives/6090,Organic Search,8,9,6,1.3333333333333333,48.166666666666664,32,0,0
/global/archives/6824,Organic Search,8,7,7,1.1428571428571428,23.714285714285715,32,0,0
