# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20241001
# 종료일: 20241031
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/global/archives/12147,Organic Search,20,19,18,1.1111111111111112,45,94,0,0
/global/archives/15204,Organic Search,20,19,15,1.3333333333333333,18.6,88,0,0
/global/archives/15865,Organic Search,20,16,8,2.5,70.25,74,0,0
/global/archives/15937,Organic Search,20,23,17,1.1764705882352942,27.58823529411765,92,0,0
/global/archives/18374,Organic Search,20,16,15,1.3333333333333333,15.4,76,0,0
/global/archives/19202,Referral,20,18,15,1.3333333333333333,56.333333333333336,77,0,0
/global/archives/7919,Organic Search,20,21,13,1.5384615384615385,54.38461538461539,88,0,0
/global/archives/category/corporates/sk-enmove,Organic Search,20,16,14,1.4285714285714286,26.928571428571427,79,0,0
/global/archives/category/press-room/issue-fact,Organic Search,20,23,18,1.1111111111111112,9.88888888888889,79,0,0
/global/archives/12036,Organic Search,19,19,9,2.111111111111111,22.666666666666668,77,0,0
/global/archives/15259,Direct,19,18,18,1.0555555555555556,2.2777777777777777,75,0,0
/global/archives/15374,Direct,19,19,15,1.2666666666666666,56.93333333333333,80,0,0
/global/archives/17169,Organic Search,19,19,18,1.0555555555555556,93.33333333333333,87,0,0
/global/archives/17446,Organic Search,19,18,16,1.1875,28.1875,85,0,0
/global/archives/18388,Direct,19,18,13,1.4615384615384615,34.61538461538461,69,0,0
/global/archives/category/corporates/sk-geo-centric,Organic Search,19,18,15,1.2666666666666666,29.8,77,0,0
/global/latestnews,Referral,19,18,11,1.7272727272727273,27.09090909090909,70,0,0
/global/archives/10654,Organic Search,18,16,12,1.5,60.583333333333336,83,0,0
/global/archives/15937,Direct,18,18,11,1.6363636363636365,39.90909090909091,83,0,0
/global/archives/16154,Organic Search,18,26,17,1.0588235294117647,8.705882352941176,99,0,0
/global/archives/16376,Organic Search,18,19,18,1,23.944444444444443,84,0,0
/global/archives/17514,Organic Search,18,17,15,1.2,27.466666666666665,73,0,0
/global/archives/5772,Organic Search,18,14,9,2,15.333333333333334,65,0,0
/global/archives/6253,Organic Search,18,13,11,1.6363636363636365,58.72727272727273,73,0,0
/global/archives/822,Organic Search,18,16,14,1.2857142857142858,31.928571428571427,74,0,0
/global/archives/10913,Organic Search,17,21,13,1.3076923076923077,68.84615384615384,83,0,0
/global/archives/12220,Organic Search,17,14,11,1.5454545454545454,36.54545454545455,73,0,0
/global/archives/15592,Direct,17,17,17,1,3.1176470588235294,78,0,0
/global/archives/18659,Direct,17,17,17,1,0.4117647058823529,68,0,0
/global/archives/18770,Direct,17,16,16,1.0625,11.6875,66,0,0
/global/archives/6377,Organic Search,17,16,15,1.1333333333333333,16.066666666666666,70,0,0
/global/archives/13595,Organic Search,16,17,14,1.1428571428571428,22.785714285714285,69,0,0
/global/archives/14226,Organic Search,16,17,14,1.1428571428571428,23.571428571428573,72,0,0
/global/archives/14491,Direct,16,17,15,1.0666666666666667,29.266666666666666,72,0,0
/global/archives/15687,Referral,16,20,11,1.4545454545454546,70.9090909090909,71,0,0
/global/archives/15985,Organic Search,16,15,12,1.3333333333333333,20.166666666666668,68,0,0
/global/archives/18283,Direct,16,15,12,1.3333333333333333,26,63,0,0
/global/archives/18608,Referral,16,16,12,1.3333333333333333,30.833333333333332,68,0,0
/global/archives/19154,Referral,16,15,13,1.2307692307692308,27.923076923076923,61,0,0
/global/archives/19202,Organic Search,16,17,13,1.2307692307692308,53.61538461538461,65,0,0
/global/archives/4499,Organic Search,16,14,14,1.1428571428571428,41.142857142857146,77,0,0
/global/archives/7906,Organic Search,16,15,13,1.2307692307692308,92.38461538461539,74,0,0
/global/archives/11400,Direct,15,17,11,1.3636363636363635,10.272727272727273,52,0,0
/global/archives/13329,Organic Search,15,17,14,1.0714285714285714,15.357142857142858,62,0,0
/global/archives/13780,Direct,15,6,6,2.5,75.83333333333333,50,0,0
/global/archives/14309,Direct,15,15,14,1.0714285714285714,0,59,0,0
/global/archives/16286,Direct,15,15,15,1,0,60,0,0
/global/archives/17569,Direct,15,14,12,1.25,18.25,53,0,0
/global/archives/18436,Organic Search,15,17,11,1.3636363636363635,31.454545454545453,66,0,0
/global/archives/19045,Referral,15,17,11,1.3636363636363635,196.63636363636363,61,0,0
/global/archives/489,Direct,15,12,10,1.5,11.1,53,0,0
/global/archives/7245,Organic Search,15,16,13,1.1538461538461537,42.15384615384615,72,0,0
/global/archives/8152,Organic Search,15,17,13,1.1538461538461537,41.76923076923077,65,0,0
/global/archives/category/corporates/sk-earthon,Referral,15,14,7,2.142857142857143,35.714285714285715,57,0,0
/global/archives/category/corporates/sk-geo-centric,Direct,15,10,4,3.75,17.75,61,0,0
/global/archives/category/insight,Organic Search,15,11,11,1.3636363636363635,16,57,0,0
/global/archives/tag/europe,Organic Search,15,11,8,1.875,42,62,0,0
